clade_name	ERR6910909	ERR6910910	ERR6910918	ERR6910923	ERR6910925	ERR6910926	ERR6910933	ERR6910937	ERR6910938	ERR6910945	ERR6910952	ERR6910955	ERR6910960	ERR6910967	ERR6910971	ERR6910974	ERR6910975	ERR6910978	ERR6910980	ERR6910981	ERR6910984	ERR6910985	ERR6910988	ERR6910991	ERR6910994	ERR6910996	ERR6910997	ERR6911009	ERR6911010	ERR6911011	ERR6911012	ERR6911013	ERR6910912	ERR6910920	ERR6910921	ERR6910929	ERR6910934	ERR6910940	ERR6910911	ERR6910913	ERR6910919	ERR6910922	ERR6910924	ERR6910927	ERR6910928	ERR6910930	ERR6910931	ERR6910932	ERR6910936	ERR6910939	ERR6910948	ERR6910956	ERR6910957	ERR6910958	ERR6910959	ERR6910961	ERR6910965	ERR6910966	ERR6910969	ERR6910970	ERR6910972	ERR6910973	ERR6910976	ERR6910977	ERR6910982	ERR6910987	ERR6910989	ERR6910998	ERR6911000	ERR6911001	ERR6911004	ERR6911008	ERR6911014	ERR6910941	ERR6910942	ERR6910943	ERR6910950	ERR6910953	ERR6910962	ERR6910963	ERR6910964	ERR6910968	ERR6910979	ERR6910983	ERR6910986	ERR6910990	ERR6910992	ERR6910993	ERR6910995	ERR6910999	ERR6911002	ERR6911003	ERR6911005	ERR6911015	ERR6911016
k__Bacteria|p__Firmicutes|c__CFGB3072|o__OFGB3072|f__FGB3072|g__GGB9781|s__GGB9781_SGB66170	0.02296	0.09275	0.0	0.10833	0.0	0.0	0.0	0.0	0.0	0.01962	0.0	0.0148	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0327	0.00952	0.00579	0.03589	0.0179	0.0	0.0	0.0	0.0	0.00802	0.0	0.02295	0.02033	0.04545	0.00238	0.0	0.0	0.00704	0.02974	0.0	0.0	0.0	0.01863	0.0	0.0	0.0	0.00642	0.0	0.0	0.01056	0.0	0.00023	0.01851	0.0	0.0	0.0	0.00851	0.0	0.0	0.0	0.0	0.00281	0.0	0.0	0.0	0.0	0.0	0.01328	0.0	0.08235	0.0	0.0	0.00189	0.0	0.00402	0.0	0.0	0.0	0.0	0.05113	0.0	0.0	0.0016	0.0	0.0	0.04213	0.0	0.00229	0.01588	0.0	0.0	0.0	0.0	0.0	0.00556	0.02425
k__Bacteria|p__Firmicutes|c__CFGB1226|o__OFGB1226|f__FGB1226|g__GGB2998|s__GGB2998_SGB3988	0.02272	0.0	0.0	0.0	0.02833	0.0	0.0	0.0	0.0	0.0	0.0	0.01581	0.03661	0.0037	0.01251	0.0	0.00304	0.0	0.0	0.0	0.0	0.01988	0.0	0.17232	0.0	0.00734	0.02032	0.0	0.0	0.0	0.0038	0.00272	0.0	0.0	0.03444	0.0	0.0	0.0	0.0	0.0	0.00776	0.0	0.0	0.00391	0.02073	0.0	0.00208	0.00198	0.03225	0.0	0.15905	0.0	0.0	0.0	0.0	0.0002	0.0	0.02372	0.0	0.0	0.0	0.01694	0.0	0.00386	0.0	0.0	0.01013	0.00788	0.0	0.0312	0.00459	0.01909	0.01035	0.0	0.00378	0.0	0.0	0.06562	0.0	0.01508	0.00128	0.0	0.0	0.02618	0.0	0.0	0.00949	0.00046	0.0	0.0	0.0	0.0	0.0	0.0	0.00839
k__Bacteria|p__Firmicutes|c__CFGB2881|o__OFGB2881|f__FGB2881|g__GGB9185|s__GGB9185_SGB14124	0.02199	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01432	0.0	0.00743	0.00246	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01048	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00565	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00776	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0115	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00974
k__Bacteria|p__Firmicutes|c__CFGB2917|o__OFGB2917|f__FGB2917|g__GGB9238|s__GGB9238_SGB14180	0.02196	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00289	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0008	0.0	0.00506	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6e-05	0.0	0.01049	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00354	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00531
k__Bacteria|p__Firmicutes|c__CFGB1311|o__OFGB1311|f__FGB1311|g__GGB3142|s__GGB3142_SGB4155	0.02194	0.0	0.0	0.0	0.0	0.0	0.01841	0.0	0.0	0.0	0.0	0.01341	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31737	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06873	0.00498	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00405	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03285	0.0	0.0	0.00257	0.07554	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB3072|o__OFGB3072|f__FGB3072|g__GGB9781|s__GGB9781_SGB15402	0.02166	0.11632	0.0	0.05184	0.0	0.0	0.0	0.0	0.0	0.02319	0.0	0.02007	0.0	0.0	0.00158	0.0	0.0	0.0	0.0	0.04508	0.03889	0.00346	0.05027	0.06095	0.0	0.0	0.0	0.0	0.0104	0.0	0.02089	0.01725	0.01187	0.0	0.0	0.0	0.0	0.01412	0.0	0.00571	0.0	0.03967	0.0	0.00776	0.0	0.03285	0.00212	0.00019	0.01584	0.00119	0.0	0.01449	0.0	0.0	0.0	0.01686	0.0	0.0	0.0	0.0	0.00436	0.0	0.0	0.0	0.0	0.0	0.03148	0.0	0.03981	0.0	0.0	0.00064	0.0	0.02968	0.0	0.0	0.0	0.00133	0.02848	0.0	0.0	0.00183	0.0	0.0	0.04945	0.0	0.01676	0.02983	0.0	0.0	0.0	0.0	0.0	0.002	0.01926
k__Bacteria|p__Firmicutes|c__CFGB2954|o__OFGB2954|f__FGB2954|g__GGB9297|s__GGB9297_SGB14255	0.02081	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00101	0.0	0.0	0.0	0.00279	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00812	0.0	0.01783	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0214	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04405	0.0	0.00032	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Anaerotignum|s__Anaerotignum_faecicola	0.0199	0.0	0.03694	0.0	0.0	0.0	0.13559	0.13857	0.00799	0.0	0.0	0.0	0.00665	0.0	0.02114	0.10304	0.0	0.0	0.0	0.0	0.0	0.15206	0.17979	0.00179	0.03413	0.0542	0.24869	0.27304	0.05241	0.0	0.0	0.01048	0.37827	0.0	0.13091	0.0	0.0	0.00222	0.0	0.0	0.05417	0.0	0.03476	0.08328	0.09984	1.02965	0.14168	0.08885	0.16641	0.0	0.234	0.0	0.35616	0.31069	0.00971	0.0	0.00968	0.01936	0.0	0.0776	0.0	0.02823	0.02463	0.05814	0.0	0.0	0.19352	0.03579	0.0	0.49739	0.0	0.01683	0.1797	0.0	0.04271	0.0	0.01383	0.3966	0.0	0.07138	0.0945	0.0	0.32613	0.45904	0.0	0.0	0.01673	0.01744	0.0	0.13559	0.13061	0.24259	0.17305	0.02424	0.06182
k__Bacteria|p__Firmicutes|c__CFGB1765|o__OFGB1765|f__FGB1765|g__GGB4604|s__GGB4604_SGB6370	0.01985	0.0	0.0	0.0	0.0	0.03041	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23606	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19059	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_AM33_3	0.0198	0.0	0.0	0.0	0.05123	0.0	0.02372	0.0	0.00139	0.0	0.01878	0.0	0.0	0.00248	0.01651	0.02798	0.04902	0.00025	0.0	0.0	0.0	0.0	0.0	0.0	0.09647	0.03765	0.06079	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05542	0.0874	0.0	0.0	0.01024	0.03264	0.00188	0.01226	0.0	0.03003	0.05084	0.0	0.02433	0.01452	0.0	0.0	0.02415	0.0	0.0257	0.0	0.0	0.0091	0.0	0.02866	0.0	0.0	7e-05	0.05452	0.0	0.0	0.0	0.0	0.01658	0.0	0.0	0.07578	0.06834	0.02222	0.00979	0.01472	0.02328	0.0	0.0	0.0	0.00512	0.03952	0.1378	0.12757	0.0	0.01401	0.0	0.0	0.0	0.0	0.02071	0.0	0.00112	0.00808	0.0	0.00988	0.01178
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__GGB51960|s__GGB51960_SGB72480	0.01922	0.0	0.0	0.02689	0.0	0.0	0.01214	0.00752	0.03538	0.06551	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03807	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13119	0.0	0.0	0.0	0.0	0.06535	0.0	0.0	0.0	0.08737	0.07519	0.0	0.0	0.0	0.0	0.0	0.0	0.09697	0.0	0.0	0.0	0.01592	0.0	0.13189	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02277	0.0	0.0	0.0	0.0	0.0	0.0	0.09269	0.0	0.0	0.0	0.0105	0.02367	0.0	0.0	0.0	0.10225	0.0	0.0	0.0	0.02797	0.11367	0.0	0.0	0.0	0.0	0.0	0.03885	0.0
